aliasName,dir,lineNum,functionName,functionScope,userPoints: (positionNum; lineNum; column) instruction_content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Alias Pairs: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fn,init/main.c,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__initcall_start,init/main.c,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fn,init/main.c,996,do_initcall_level,994-1008,"(0;0;0)   %fn.022 = phi i32* [ %incdec.ptr, %for.body ], [ %12, %trace_initcall_level.exit ]","(0;1006;39)   %cmp21 = icmp ult i32* %12, %13, !dbg !10377536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initcall_levels,init/main.c,1006,do_initcall_level,994-1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calltime,init/main.c,879,trace_initcall_start_cb,877-883,"(0;882;12)   store i64 %call3, i64* %0, align 8, !dbg !10377433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data,init/main.c,877,trace_initcall_start_cb,877-883,"(0;879;22)   %0 = bitcast i8* %data to i64*, !dbg !10377412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calltime,init/main.c,888,trace_initcall_finish_cb,886-897,"(0;893;10)   %1 = load i64, i64* %0, align 8, !dbg !10377418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data,init/main.c,886,trace_initcall_finish_cb,886-897,"(0;888;22)   %0 = bitcast i8* %data to i64*, !dbg !10377416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,init/do_mounts.c,251,name_to_dev_t,222-313,"(0;256;10)   %18 = load i32, i32* %maj, align 4, !dbg !10377585","(0;255;8)   %call18 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([12 x i8], [12 x i8]* @.str.4.34, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i32* nonnull %offset, i8* nonnull %dummy) #97, !dbg !10377582","(0;254;8)   %call16 = call i32 (i8*, i8*, ...) @sscanf(i8* %name, i8* getelementptr inbounds ([8 x i8], [8 x i8]* @.str.3, i64 0, i64 0), i32* nonnull %maj, i32* nonnull %min, i8* nonnull %dummy) #97, !dbg !10377578","(0;251;3)   %15 = bitcast i32* %maj to i8*, !dbg !10377575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
